Country,Americas,International Calling Code,Mobile Prefix,Size of NSN,Carrier,Notes
Anguilla,TRUE,1,264 772,10,,NANP member
Antigua and Barbuda,TRUE,1,268 7xx,10,,NANP member
Argentina,TRUE,54,15-Sep,?,"All carriers: Claro, Movistar, Personal, Tuenti",15 before the local number but after long distance area code for national calls (0 11 15 xxxx-xxxx) and 9 placed after the international access code excluding the 15 for international calls (+54 9 11 xxxx-xxxx).
Aruba,TRUE,297,,7,,
Bahamas,TRUE,1,242 35x,10,,NANP member
Bahamas,TRUE,1,242 45x,10,,NANP member
Bahamas,TRUE,1,242 55x,10,,NANP member
Barbados,TRUE,1,246,10,AT&T Wireless (formerly),"NANP member, no mobile-specific prefix"
Barbados,TRUE,1,246,10,Digicel,"NANP member, no mobile-specific prefix"
Barbados,TRUE,1,246,10,LIME,"NANP member, no mobile-specific prefix"
Barbados,TRUE,1,246,10,Sunbeach,"NANP member, no mobile-specific prefix"
Belize,TRUE,501,6,7,Mobile Smart,
Bermuda,TRUE,1,441,10,,"NANP member, no mobile-specific prefix"
Bolivia,TRUE,591,6,?[3],,
Bolivia,TRUE,591,7,?[3],,
Brazil,TRUE,55,xx 9,11,,"Mobile phones use geographic area codes (two digits): after that, all numbers assigned to mobile service have nine digits, starting with 9 (example: +55 15 99999-9999). The possible range goes from 91 to 99: 90 is not possible, because collect calls start with this number.[4]"
British Virgin Islands,TRUE,1,284,10,,"NANP member, no mobile-specific prefix"
Canada,TRUE,1,No clear distinction between land and cell numbers. Area code structure: N-X-Y N is not 0 or 1 X is not 9 X ≠ Y,10,,"Mobile phones use geographic area codes. Many exchange codes contain primarily mobile devices; local numbers are portable between wired and wireless carriers. While area code 600 has been established as a non-geographic code that can be used by mobile phones, the only significant mobile usage has been for satellite phone service in remote regions."
Cayman Islands,TRUE,1,345,10,,"NANP member, no mobile-specific prefix"
Chile,TRUE,56,9,9,"All carriers: Movistar, Claro, Entel, WOM, Virgin Mobile, etc.","Example: +56 9 1234 5678 dialed from Chilean or foreign mobile phones, with or without blank spaces."
Colombia,TRUE,57,30x,10,Tigo,
Colombia,TRUE,57,310,10,Claro,
Colombia,TRUE,57,311,10,Claro,
Colombia,TRUE,57,312,10,Claro,
Colombia,TRUE,57,313,10,Claro,
Colombia,TRUE,57,314,10,Claro,
Colombia,TRUE,57,315,10,Movistar,
Colombia,TRUE,57,316,10,Movistar,
Colombia,TRUE,57,317,10,Movistar,
Colombia,TRUE,57,318,10,Movistar,
